source_system,source_ref,url,entity_type,entity_id,entity_label,tread_pattern,display_priority,status
production.catalog_images,catalog_images:86cd19cb-fb82-48fe-98a0-f9286af6d50d,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x49-zig-zag-01.webp,track_size,ts_320x86bx49,320x86Bx49,Zig-Zag,1,mapped
production.catalog_images,catalog_images:4f339735-6ebc-4790-835d-57dd5abe1328,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x49-zig-zag-02.webp,track_size,ts_320x86bx49,320x86Bx49,Zig-Zag,2,mapped
production.catalog_images,catalog_images:5aacb7f3-a9b7-4044-a260-c83c4372be7e,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x49-zig-zag-03.webp,track_size,ts_320x86bx49,320x86Bx49,Zig-Zag,2,mapped
production.catalog_images,catalog_images:a8dc8d96-0da8-4fc8-975c-3673831075a1,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x49-zig-zag-04.webp,track_size,ts_320x86bx49,320x86Bx49,Zig-Zag,2,mapped
production.catalog_images,catalog_images:eccf9451-38a5-4dfb-8198-bb678cbc1a22,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-x-terrain-01.webp,track_size,ts_320x86bx50,320x86Bx50,X-Terrain,1,mapped
production.catalog_images,catalog_images:90b6c1b7-7a7c-4fc7-85d0-3191dcebdacf,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-x-terrain-02.webp,track_size,ts_320x86bx50,320x86Bx50,X-Terrain,2,mapped
production.catalog_images,catalog_images:c0638832-8863-4c6b-bd88-caeccfec6274,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-x-terrain-03.webp,track_size,ts_320x86bx50,320x86Bx50,X-Terrain,2,mapped
production.catalog_images,catalog_images:199d93b3-86a7-4546-b492-3577f59b6341,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-x-terrain-04.webp,track_size,ts_320x86bx50,320x86Bx50,X-Terrain,2,mapped
production.catalog_images,catalog_images:5f318345-9885-4d2f-8b50-e765b5a8f1a9,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-zig-zag-01.webp,track_size,ts_320x86bx50,320x86Bx50,Zig-Zag,1,mapped
production.catalog_images,catalog_images:38504927-7571-4010-8305-660f884563cd,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-zig-zag-02.webp,track_size,ts_320x86bx50,320x86Bx50,Zig-Zag,2,mapped
production.catalog_images,catalog_images:d8c1d1b3-5d73-4d2d-b6a1-f4bc32838283,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-zig-zag-03.webp,track_size,ts_320x86bx50,320x86Bx50,Zig-Zag,2,mapped
production.catalog_images,catalog_images:83afdddd-ee0e-4775-a7de-ef7b6687ca6e,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-zig-zag-04.webp,track_size,ts_320x86bx50,320x86Bx50,Zig-Zag,2,mapped
production.catalog_images,catalog_images:4ae56e61-0a4d-4254-9168-48a7f4fd4c00,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x52-c-block-01.webp,track_size,ts_320x86bx52,320x86Bx52,C-Block,1,mapped
production.catalog_images,catalog_images:a3aae95d-ead8-4eca-a5c4-fd00cf8a1430,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x52-c-block-02.webp,track_size,ts_320x86bx52,320x86Bx52,C-Block,2,mapped
production.catalog_images,catalog_images:c1d3fac6-0092-4695-a1f6-0bafda40b956,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x52-c-block-04.webp,track_size,ts_320x86bx52,320x86Bx52,C-Block,2,mapped
production.catalog_images,catalog_images:4b6fbb9c-d28b-42df-951c-b86d91b58c3f,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x52-zig-zag-01.webp,track_size,ts_320x86bx52,320x86Bx52,Zig-Zag,1,mapped
production.catalog_images,catalog_images:b8d4edf9-3a27-4d35-b3e5-c2d35e6ae391,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x52-zig-zag-02.webp,track_size,ts_320x86bx52,320x86Bx52,Zig-Zag,2,mapped
production.catalog_images,catalog_images:9db062a5-c2c6-4982-8ca1-b133e9c1dde7,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x52-zig-zag-03.webp,track_size,ts_320x86bx52,320x86Bx52,Zig-Zag,2,mapped
production.catalog_images,catalog_images:9d64a02a-6152-4d23-87a8-88c604d9ae3b,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x52-zig-zag-04.webp,track_size,ts_320x86bx52,320x86Bx52,Zig-Zag,2,mapped
production.catalog_images,catalog_images:5d010ee1-6be4-477c-82fa-2a8291ed20bb,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x49-c-block-04.webp,track_size,ts_320x86bx49,320x86Bx49,C-Block,2,mapped
