candidate_id,machine_id,shopify_handle,field_name,source_type,source_priority,source_url,confidence,evidence_text
enr_eef94d61a50e37539fa0a071,mdl_new_holland_e352c,new-holland-e-35-2c,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e-35-2c,0.88,Track Finder model family label
enr_769c1d2a22ced52342e297f4,mdl_new_holland_e_35_2sr,new-holland-e-35-2sr,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e-35-2sr,0.88,Track Finder model family label
enr_759eb31ba35c4fd6ed09be07,mdl_new_holland_e_35sr,new-holland-e35sr,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e35sr,0.88,Track Finder model family label
enr_a3e78e37a85f136325e2c078,mdl_new_holland_e_70bsr,new-holland-e-70bsr,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e-70bsr,0.88,Track Finder model family label
enr_dbfbe06ab659f347c73a38ac,mdl_new_holland_e_70sr,new-holland-e-70sr,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e-70sr,0.88,Track Finder model family label
enr_7c2852d5cbb3219fb46ac0c7,mdl_new_holland_e_80,new-holland-e-80,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e-80,0.88,Track Finder model family label
enr_3d9cf6c139fdbe31cf307e7d,mdl_new_holland_e_80bmsr,new-holland-e-80bmsr,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e-80bmsr,0.88,Track Finder model family label
enr_e5612981f5d5413a41cedff6,mdl_new_holland_e_80cs,new-holland-e-80cs,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e-80cs,0.88,Track Finder model family label
enr_143c302c81fca2a72f9b222e,mdl_new_holland_e_80msr,new-holland-e-80msr,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-e-80msr,0.88,Track Finder model family label
enr_a9c5caceb44f1adb9b6995cb,mdl_new_holland_eh30_b,new-holland-eh-30b,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-eh-30b,0.88,Track Finder model family label
enr_1843f9acca9ca3be619a3760,mdl_new_holland_eh_35b,new-holland-eh-35b,canonical_model_group,track_finder,4,/pages/equipment-model/new-holland-eh-35b,0.88,Track Finder model family label
