Handle,Command,Top Row,Variant SKU,Metafield: custom.fits_equipment_models [list.metaobject_reference]
tnt3208652sdc,MERGE,TRUE,TNT3208652SDC,"model.bobcat-864, model.bobcat-864g, model.bobcat-t200, model.bobcat-t630, model.bobcat-t650, model.cat-255, model.jcb-190t, model.john-deere-319d, model.john-deere-319e, model.john-deere-323d, model.john-deere-323e, model.john-deere-325g, model.john-deere-ct322, model.komatsu-820-turbo, model.komatsu-ck20, model.komatsu-ck20-1, model.komatsu-ck25, model.kubota-svl65-2, model.kubota-svl75, model.kubota-svl75-2, model.kubota-svl75-3, model.takeuchi-tl8r2"
tnt3208653hdbd,MERGE,TRUE,TNT3208653HDBD,"model.bobcat-t72, model.bobcat-t76, model.cat-259, model.cat-259b3, model.cat-259d, model.cat-259d3"
tnt3208653hdbl,MERGE,TRUE,TNT3208653HDBL,"model.bobcat-t72, model.bobcat-t76, model.cat-259, model.cat-259b3, model.cat-259d, model.cat-259d3"
tnt3208653hdmb,MERGE,TRUE,TNT3208653HDMB,"model.bobcat-t72, model.bobcat-t76, model.cat-259, model.cat-259b3, model.cat-259d, model.cat-259d3"
tnt3208653hdxt,MERGE,TRUE,TNT3208653HDXT,"model.bobcat-t72, model.bobcat-t76, model.cat-259, model.cat-259b3, model.cat-259d, model.cat-259d3"
tnt3208653hdz,MERGE,TRUE,TNT3208653HDZ,"model.bobcat-t72, model.bobcat-t76, model.cat-259, model.cat-259b3, model.cat-259d, model.cat-259d3"
tnt3208653hdzb,MERGE,TRUE,TNT3208653HDZB,"model.bobcat-t72, model.bobcat-t76, model.cat-259, model.cat-259b3, model.cat-259d, model.cat-259d3"
tnt3208654hdbl,MERGE,TRUE,TNT3208654HDBL,"model.gehl-rt175, model.gehl-rt185, model.mustang-1750-rt, model.yanmar-t175"
tnt3208654hdmb,MERGE,TRUE,TNT3208654HDMB,"model.gehl-rt175, model.gehl-rt185, model.mustang-1750-rt, model.yanmar-t175"
tnt32086t46hdbl,MERGE,TRUE,TNT32086T46HDBL,"model.gehl-ctl55, model.takeuchi-tl220"
