machine_id,shopify_handle,brand,model,status,primary_track_size,hero_url,track_count,uc_count,notes
mdl_bobcat_t730,bobcat-t730,Bobcat,T730,ready,450x86Bx55,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t730-hero.webp,12,1,
mdl_bobcat_t740,bobcat-t740,Bobcat,T740,ready,450x86Bx55,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t740-hero.webp,16,7,
mdl_bobcat_t750,bobcat-t750,Bobcat,T750,ready,450x86Bx55,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t750-hero.webp,16,11,
mdl_bobcat_t76,bobcat-t76,Bobcat,T76,ready,320x86Bx53,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t76-hero.webp,24,2,
mdl_bobcat_t770,bobcat-t770,Bobcat,T770,ready,450x86Bx55,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t770-hero.webp,16,13,
mdl_bobcat_t830,bobcat-t830,Bobcat,T830,ready,450x86Bx58,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t830-hero.webp,14,0,
mdl_bobcat_t86,bobcat-t86,Bobcat,T86,ready,450x86Bx58,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t86-hero.webp,13,1,
mdl_bobcat_t864,bobcat-t864,Bobcat,T864,partial,320x86x52,,4,0,missing_hero
mdl_bobcat_t870,bobcat-t870,Bobcat,T870,ready,450x86Bx58,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-t870-hero.webp,27,11,
mdl_boxer_118,boxer-118,Boxer,118,partial,180x72x36,,1,0,missing_hero
mdl_boxer_320,boxer-320,Boxer,320,partial,180x72x36,,1,0,missing_hero
mdl_boxer_322d,boxer-322d,Boxer,322D,partial,180x72x36,,1,0,missing_hero
mdl_boxer_400,boxer-400,Boxer,400,partial,230x72x39,,1,0,missing_hero
mdl_boxer_427,boxer-427,Boxer,427,partial,230x72x39,,1,0,missing_hero
mdl_boxer_526dx,boxer-526dx,Boxer,526DX,partial,230x72x39,,1,0,missing_hero
mdl_boxer_530dx,boxer-530dx,Boxer,530DX,partial,230x72x39,,4,0,missing_hero
mdl_boxer_532dx,boxer-532dx,Boxer,532DX,partial,230x72x39,,1,0,missing_hero
mdl_boxer_brute_trx,boxer-brute-trx,Boxer,BRUTE TRX,partial,230x72x39,,1,0,missing_hero
mdl_case_15,case-15,Case,15,partial,230x96x31,,2,0,missing_hero
mdl_case_15maxi,case-15maxi,Case,15MAXI,partial,230x96x31,,2,0,missing_hero
mdl_case_16,case-16,Case,16,partial,230x96x31,,2,0,missing_hero
mdl_case_16maxi,case-16maxi,Case,16MAXI,partial,230x96x31,,2,0,missing_hero
mdl_case_16rtn,case-16rtn,Case,16RTN,partial,230x96x31,,2,0,missing_hero
mdl_case_420ct,case-420ct,Case,420CT,partial,320x86Bx50,,19,4,missing_hero
mdl_case_440ct,case-440ct,Case,440CT,partial,400x86Bx50,,19,4,missing_hero
mdl_case_445ct,case-445ct,Case,445CT,partial,450x86Bx55,,16,4,missing_hero
mdl_case_450ct,case-450ct,Case,450CT,partial,450x86Bx55,,16,4,missing_hero
