Handle,Command,Field: primary_track_size,Field: hero_image,Field: track_products [list.product_reference],Field: uc_products [list.product_reference]
caterpillar-277c,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb","bw10, heavy-duty-sprocket-tb39, oss39, sis39"
caterpillar-279c,MERGE,450x86Bx60,,"450x86x60-rubber-track-c-block, bs4508660bxd, bs4508660cxd, bs4508660mbxd, bs4508660vxd, bs4508660xdzb, sd4508660bbe, tnt4008660hdbl, tnt4508660hdbd, tnt4508660hdbl, tnt4508660hdmb, tnt4508660hdxt, tnt4508660hdz, tnt4508660hdzb, tnt4508660sdc","heavy-duty-front-idler-fi304-1878, heavy-duty-rear-idler-rr304-1894, heavy-duty-sprocket-sp304-1916, heavy-duty-track-roller-tr304-1890"
caterpillar-279c2,MERGE,450x86Bx56,,"450x86x56-rubber-track-multi-bar, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-front-idler-fi304-1878, heavy-duty-rear-idler-rr304-1894, heavy-duty-sprocket-sp304-1916, heavy-duty-track-roller-tr304-1890"
caterpillar-279d,MERGE,450x86Bx56,,"450x86x56-rubber-track-multi-bar, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-front-idler-fi304-1878, heavy-duty-front-idler-fi348-9647, heavy-duty-rear-idler-rr304-1894, heavy-duty-sprocket-sp304-1916, heavy-duty-track-roller-tr304-1890"
caterpillar-287,MERGE,,,"639-1830, tnt457101650hdmb, tnt457101651hdmb","heavy-duty-sprocket-tb43, oss39"
caterpillar-287b,MERGE,,,tnt457101650hdmb,"heavy-duty-sprocket-tb43, oss39"
caterpillar-287c,MERGE,457x101.6x51,,"639-1830, tnt457101651hdmb","bw10, heavy-duty-sprocket-tb39, oss39, sis39"
caterpillar-287c2,MERGE,,,"639-1830, tnt457101651hdmb","bw10, oss39, sis39"
caterpillar-287d,MERGE,,,"639-1830, tnt457101651hdmb","oss39, sis39, tb39x"
caterpillar-289c,MERGE,450x86Bx60,,"450x86x60-rubber-track-c-block, bs4508660bxd, bs4508660cxd, bs4508660mbxd, bs4508660vxd, bs4508660xdzb, sd4508660bbe, tnt4508660hdbd, tnt4508660hdbl, tnt4508660hdmb, tnt4508660hdxt, tnt4508660hdz, tnt4508660hdzb, tnt4508660sdc","heavy-duty-front-idler-fi304-1878, heavy-duty-front-idler-fi348-9647, heavy-duty-rear-idler-rr304-1894, heavy-duty-sprocket-sp304-1916, heavy-duty-track-roller-tr304-1890"
caterpillar-289c2,MERGE,450x86Bx56,,"450x86x56-rubber-track-multi-bar, bs4508656bxd, bs4508656mbxd, bs4508656vxd, bs4508656xdzb, tnt4508656hdbd, tnt4508656hdbl, tnt4508656hdc, tnt4508656hdxt, tnt4508656hdz, tnt4508656hdzb, tnt4508656sdbl, tnt4508656sdc","heavy-duty-front-idler-fi304-1878, heavy-duty-rear-idler-rr304-1894, heavy-duty-sprocket-sp304-1916, heavy-duty-track-roller-tr304-1890"
