machine_id,shopify_handle,page_path,metaobject_path,primary_track_size,machine_status,status,issues
mdl_cat_308dcr,caterpillar-308d-cr,/pages/fitment/caterpillar-308d-cr,/metaobjects/model/caterpillar-308d-cr,450x81Nx78,active_v1,pass,
mdl_cat_308e,caterpillar-308e,/pages/fitment/caterpillar-308e,/metaobjects/model/caterpillar-308e,450x81Nx78,active_v1,pass,
mdl_cat_308e_cr,caterpillar-308e-cr,/pages/fitment/caterpillar-308e-cr,/metaobjects/model/caterpillar-308e-cr,450x81Nx78,active_v1,pass,
mdl_cat_308e2_cr,caterpillar-308e2-cr,/pages/fitment/caterpillar-308e2-cr,/metaobjects/model/caterpillar-308e2-cr,450x81Nx78,active_v1,pass,
mdl_cat_mm15t,caterpillar-mm15t,/pages/fitment/caterpillar-mm15t,/metaobjects/model/caterpillar-mm15t,230x96x31,active_v1,pass,
mdl_cormidi_c85,cormidi-c85,/pages/fitment/cormidi-c85,/metaobjects/model/cormidi-c85,180x72x36,active_v1,pass,
mdl_daewoo_ah30,daewoo-ah-30,/pages/fitment/daewoo-ah-30,/metaobjects/model/daewoo-ah-30,300x52.5Nx80,active_v1,pass,
mdl_daewoo_sl035,daewoo-sl-035,/pages/fitment/daewoo-sl-035,/metaobjects/model/daewoo-sl-035,300x52.5Nx84,active_v1,pass,
mdl_daewoo_solar_018vt,daewoo-solar-018vt,/pages/fitment/daewoo-solar-018vt,/metaobjects/model/daewoo-solar-018vt,230x48x70,active_v1,pass,
mdl_daewoo_solar007,daewoo-solar-007,/pages/fitment/daewoo-solar-007,/metaobjects/model/daewoo-solar-007,180x72x37,active_v1,pass,
mdl_daewoo_solar010,daewoo-solar-010,/pages/fitment/daewoo-solar-010,/metaobjects/model/daewoo-solar-010,180x72x37,active_v1,pass,
mdl_daewoo_solar030,daewoo-solar-030,/pages/fitment/daewoo-solar-030,/metaobjects/model/daewoo-solar-030,300x52.5Nx76,active_v1,pass,
mdl_daewoo_solar035,daewoo-solar-035,/pages/fitment/daewoo-solar-035,/metaobjects/model/daewoo-solar-035,300x52.5Nx84,active_v1,pass,
