handle,machine_id,brand,model,primary_track_size,publish_status,hero,track_count,uc_count,approved_sizes,shopify_exists,status,issues
case-15maxi,mdl_case_15maxi,Case,15MAXI,230x96x31,ready,no,2,0,1,unknown,review,missing_hero
case-16,mdl_case_16,Case,16,230x96x31,ready,no,2,0,1,unknown,review,missing_hero
case-16maxi,mdl_case_16maxi,Case,16MAXI,230x96x31,ready,no,2,0,1,unknown,review,missing_hero
case-16rtn,mdl_case_16rtn,Case,16RTN,230x96x31,ready,no,2,0,1,unknown,review,missing_hero
case-420ct,mdl_case_420ct,Case,420CT,320x86Bx50,ready,no,19,4,1,unknown,review,missing_hero
case-440ct,mdl_case_440ct,Case,440CT,400x86Bx50,ready,no,19,4,1,unknown,review,missing_hero
case-445ct,mdl_case_445ct,Case,445CT,450x86Bx55,ready,no,16,4,1,unknown,review,missing_hero
case-450ct,mdl_case_450ct,Case,450CT,450x86Bx55,ready,no,16,4,1,unknown,review,missing_hero
case-6030,mdl_case_6030,Case,6030,400x72.5Kx74,blocked,no,0,0,3,unknown,fail,blocked;missing_hero;no_products
case-ck16,mdl_case_ck16,Case,CK16,320x86x48,ready,no,2,0,2,unknown,review,missing_hero
case-ck28,mdl_case_ck28,Case,CK28,300x52.5Nx78,ready,no,2,2,2,unknown,review,missing_hero
case-ck32,mdl_case_ck32,Case,CK32,320x86x52,ready,no,7,1,1,unknown,review,missing_hero
case-ck50,mdl_case_ck50,Case,CK50,400x72.5Kx74,ready,no,4,2,3,unknown,review,missing_hero
case-ck52,mdl_case_ck52,Case,CK52,400x72.5Kx74,ready,no,4,2,3,unknown,review,missing_hero
case-ck62,mdl_case_ck62,Case,CK62,400x72.5Wx76,ready,no,1,2,1,unknown,review,missing_hero
case-cx14,mdl_case_cx14,Case,CX14,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
case-cx14-zts,mdl_case_cx14_zts,Case,CX14-ZTS,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
case-cx15,mdl_case_cx15,Case,CX15,230x96x31,ready,no,2,0,1,unknown,review,missing_hero
case-cx15stc,mdl_case_cx15stc,Case,CX15STC,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
case-cx15str,mdl_case_cx15str,Case,CX15STR,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
case-cx16,mdl_case_cx16,Case,CX16,230x48x70,ready,no,2,0,2,unknown,review,missing_hero
case-cx16-2001,mdl_case_cx16_2001,Case,CX16-2001,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
case-cx16b,mdl_case_cx16b,Case,CX16B,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
case-cx17b,mdl_case_cx17b,Case,CX17B,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
case-cx17c,mdl_case_cx17c,Case,CX17C,230x48x70,ready,yes,2,0,1,unknown,pass,
case-cx18b,mdl_case_cx18b,Case,CX18B,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
case-cx20b,mdl_case_cx20b,Case,CX20B,300x52.5Nx76,ready,no,1,2,2,unknown,review,missing_hero
case-cx22b,mdl_case_cx22b,Case,CX22B,300x52.5Nx76,ready,no,1,2,2,unknown,review,missing_hero
case-cx25,mdl_case_cx25,Case,CX25,300x52.5Nx76,ready,no,1,1,2,unknown,review,missing_hero
case-cx26,mdl_case_cx26,Case,CX26,300x52.5Nx76,ready,no,1,0,2,unknown,review,missing_hero
case-cx26c,mdl_case_cx26c,Case,CX26C,300x52.5Nx78,ready,yes,1,0,2,unknown,pass,
case-cx27b,mdl_case_cx27b,Case,CX27B,300x52.5Nx80,ready,no,3,3,1,unknown,review,missing_hero
case-cx28,mdl_case_cx28,Case,CX28,300x52.5Nx78,ready,no,2,2,2,unknown,review,missing_hero
case-cx30,mdl_case_cx30,Case,CX30,300x52.5Nx80,ready,no,3,0,1,unknown,review,missing_hero
case-cx30c,mdl_case_cx30c,Case,CX30C,300x52.5Nx80,blocked,yes,0,0,1,unknown,fail,blocked;no_products
case-cx33c,mdl_case_cx33c,Case,CX33C,300x52.5x86,ready,no,3,1,1,unknown,review,missing_hero
case-cx35,mdl_case_cx35,Case,CX35,300x52.5x86,ready,no,6,3,1,unknown,review,missing_hero
case-cx36,mdl_case_cx36,Case,CX36,300x52.5Kx88,ready,no,1,3,2,unknown,review,missing_hero
case-cx36b,mdl_case_cx36b,Case,CX36B,300x52.5Kx88,ready,no,1,6,2,unknown,review,missing_hero
case-cx37c,mdl_case_cx37c,Case,CX37C,300x52.5x86,ready,yes,1,2,1,unknown,pass,
case-cx39b,mdl_case_cx39b,Case,CX39B,300x52.5Kx88,blocked,no,0,0,2,unknown,fail,blocked;missing_hero;no_products
case-cx47,mdl_case_cx47,Case,CX47,400x72.5Kx74,ready,no,5,1,3,unknown,review,missing_hero
case-cx50,mdl_case_cx50,Case,CX50,400x72.5Kx74,ready,no,3,0,3,unknown,review,missing_hero
case-cx50b,mdl_case_cx50b,Case,CX50B,400x72.5Kx74,ready,no,5,3,3,unknown,review,missing_hero
case-cx55b,mdl_case_cx55b,Case,CX55B,400x72.5Kx74,ready,no,6,4,3,unknown,review,missing_hero
case-cx55b-msr,mdl_case_cx55bmsr,Case,CX55BMSR,400x72.5Kx74,blocked,no,0,0,3,unknown,fail,blocked;missing_hero;no_products
case-cx57,mdl_case_cx57,Case,CX57,400x72.5Wx76,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
case-cx57c,mdl_case_cx57c,Case,CX57C,400x72.5Wx76,ready,yes,2,0,1,unknown,pass,
case-cx60c,mdl_case_cx60c,Case,CX60C,400x72.5Wx76,ready,yes,2,2,1,unknown,pass,
case-cx65b,mdl_case_cx65b,Case,CX65B,400x72.5Kx74,blocked,no,0,0,3,unknown,fail,blocked;missing_hero;no_products
case-cx75sr,mdl_case_cx75sr,Case,CX75SR,450x81Nx76,ready,no,3,3,2,unknown,review,missing_hero
case-cx80c,mdl_case_cx80c,Case,CX80C,450x81Nx76,ready,yes,4,3,2,unknown,pass,
case-tr270,mdl_case_tr270,Case,TR270,320x86Bx50,ready,yes,11,5,1,unknown,pass,
case-tr270b,mdl_case_tr270b,Case,TR270B,320x86Bx50,ready,no,11,5,1,unknown,review,missing_hero
case-tr310,mdl_case_tr310,Case,TR310,400x86Bx50,ready,yes,19,5,1,unknown,pass,
case-tr310b,mdl_case_tr310b,Case,TR310B,320x86Bx50,ready,yes,19,4,2,unknown,pass,
case-tr320,mdl_case_tr320,Case,TR320,450x86Bx55,ready,yes,16,5,1,unknown,pass,
case-tr320b,mdl_case_tr320b,Case,TR320B,450x86Bx55,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
case-tr340,mdl_case_tr340,Case,TR340,450x86Bx55,ready,yes,16,5,1,unknown,pass,
case-tr340b,mdl_case_tr340b,Case,TR340B,450x86Bx55,ready,yes,16,5,1,unknown,pass,
case-tv370,mdl_case_tv370,Case,TV370,450x86Bx55,ready,yes,16,4,1,unknown,pass,
case-tv370b,mdl_case_tv370b,Case,TV370B,450x86Bx55,ready,no,12,5,1,unknown,review,missing_hero
case-tv380,mdl_case_tv380,Case,TV380,450x86Bx55,ready,yes,16,5,1,unknown,pass,
case-tv450,mdl_case_tv450,Case,TV450,450x86Bx55,ready,yes,16,5,1,unknown,pass,
case-tv450b,mdl_case_tv450b,Case,TV450B,450x86Bx55,ready,yes,16,5,1,unknown,pass,
case-tv620b,mdl_case_tv620b,Case,TV620B,450x86Bx63,ready,yes,5,2,1,unknown,pass,
caterpillar-239d,mdl_cat_239d,CAT,239D,320x86Bx49,ready,no,17,3,2,unknown,review,missing_hero
caterpillar-239d3,mdl_cat_239d3,CAT,239D3,320x86Bx49,ready,no,17,3,1,unknown,review,missing_hero
caterpillar-247,mdl_cat_247,CAT,247,,partial,no,1,2,0,unknown,review,missing_hero;missing_primary_track_size
caterpillar-247b,mdl_cat_247b,CAT,247B,381x100.5x42,ready,no,2,2,0,unknown,review,missing_hero
caterpillar-247b2,mdl_cat_247b2,CAT,247B2,381x100.5x42,ready,no,1,1,0,unknown,review,missing_hero
caterpillar-247b3,mdl_cat_247b3,CAT,247B3,381x100.5x42,ready,no,1,1,0,unknown,review,missing_hero
caterpillar-2493,mdl_cat_2493,CAT,2493,400x86Bx49,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
caterpillar-249d,mdl_cat_249d,CAT,249D,320x86Bx49,ready,no,17,3,2,unknown,review,missing_hero
caterpillar-249d3,mdl_cat_249d3,CAT,249D3,320x86Bx49,ready,no,34,3,2,unknown,review,missing_hero
caterpillar-255,mdl_cat_255,CAT,255,320x86x52,ready,no,58,3,3,unknown,review,missing_hero
caterpillar-257,mdl_cat_257,CAT,257,,partial,no,1,2,0,unknown,review,missing_hero;missing_primary_track_size
caterpillar-257b,mdl_cat_257b,CAT,257B,381x100.5x42,ready,no,1,2,0,unknown,review,missing_hero
caterpillar-257b2,mdl_cat_257b2,CAT,257B2,381x100.5x42,ready,no,1,1,0,unknown,review,missing_hero
caterpillar-257b3,mdl_cat_257b3,CAT,257B3,381x100.5x42,ready,no,1,1,0,unknown,review,missing_hero
caterpillar-257d,mdl_cat_257d,CAT,257D,,partial,no,1,1,0,unknown,review,missing_hero;missing_primary_track_size
caterpillar-259b,mdl_cat_259b,CAT,259B,320x86Bx53,blocked,no,0,0,2,unknown,fail,blocked;missing_hero;no_products
caterpillar-259b3,mdl_cat_259b3,CAT,259B3,320x86Bx53,ready,no,17,5,2,unknown,review,missing_hero
caterpillar-259d,mdl_cat_259d,CAT,259D,320x86Bx53,ready,no,17,5,2,unknown,review,missing_hero
caterpillar-259d3,mdl_cat_259d3,CAT,259D3,320x86Bx53,ready,no,17,5,2,unknown,review,missing_hero
caterpillar-265,mdl_cat_265,CAT,265,450x86Bx55,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
caterpillar-267b,mdl_cat_267b,CAT,267B,,partial,no,1,2,0,unknown,review,missing_hero;missing_primary_track_size
caterpillar-277,mdl_cat_277,CAT,277,320x86x52,ready,no,5,2,0,unknown,review,missing_hero
caterpillar-277b,mdl_cat_277b,CAT,277B,457x101.6x56,ready,no,2,2,0,unknown,review,missing_hero
caterpillar-277c,mdl_cat_277c,CAT,277C,457x101.6x51,ready,no,2,4,0,unknown,review,missing_hero
caterpillar-279c,mdl_cat_279c,CAT,279C,450x86Bx60,ready,no,15,4,1,unknown,review,missing_hero
caterpillar-279c2,mdl_cat_279c2,CAT,279C2,450x86Bx56,ready,no,13,4,1,unknown,review,missing_hero
caterpillar-279d,mdl_cat_279d,CAT,279D,450x86Bx56,ready,no,13,5,1,unknown,review,missing_hero
caterpillar-279d3,mdl_cat_279d3,CAT,279D3,450x86Bx56,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
caterpillar-287,mdl_cat_287,CAT,287,,partial,no,4,2,0,unknown,review,missing_hero;missing_primary_track_size
caterpillar-287b,mdl_cat_287b,CAT,287B,,partial,no,1,2,0,unknown,review,missing_hero;missing_primary_track_size
caterpillar-287c,mdl_cat_287c,CAT,287C,457x101.6x51,ready,no,2,4,1,unknown,review,missing_hero
