machine_id,shopify_handle,track_size_options,v2_track_products,tnt_products,uc_products,sprockets,idlers,rear_idlers,rollers,wide_before_narrow,status,issues
mdl_ditch_witch_jt860,ditch-witch-jt-860-drilling-machine,0,2,2,2,0,0,0,0,n/a,review,no_track_size_options
mdl_ditch_witch_jt922,ditch-witch-jt-922,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_ditch_witch_mx_27,ditch-witch-mx27,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_ditch_witch_mx_272,ditch-witch-mx272,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_ditch_witch_mx_35,ditch-witch-mx35,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_ditch_witch_mx_352,ditch-witch-mx352,1,1,0,1,0,0,0,0,n/a,review,no_tnt_tracks
mdl_ditch_witch_mx182,ditch-witch-mx182,1,2,1,2,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk1050,ditch-witch-sk1050,1,3,3,3,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk1550,ditch-witch-sk-1550,1,3,3,3,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk500,ditch-witch-sk500,1,4,3,4,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk600,ditch-witch-sk-600,2,2,2,2,0,0,0,0,review,pass,
mdl_ditch_witch_sk650,ditch-witch-sk-650,1,3,3,3,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk750,ditch-witch-sk750,1,3,3,3,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk752,ditch-witch-sk752,1,2,2,2,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk755,ditch-witch-sk755,1,3,3,3,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk800,ditch-witch-sk800,1,2,2,2,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk850,ditch-witch-sk850,1,2,2,2,0,0,0,0,n/a,pass,
mdl_ditch_witch_sk900,ditch-witch-sk900,1,3,3,3,0,0,0,0,n/a,pass,
mdl_doosan_dx27z,doosan-dx27z,1,3,1,3,0,0,0,0,n/a,pass,
mdl_doosan_dx30z,doosan-dx30z,2,1,1,1,0,0,0,0,review,pass,
mdl_doosan_dx35,doosan-dx35,1,2,1,4,0,1,0,1,n/a,pass,
mdl_doosan_dx35_z7,doosan-dx35-z7,1,2,1,3,0,0,0,0,n/a,pass,
mdl_doosan_dx355,doosan-dx35-5,3,1,1,1,0,0,0,0,review,pass,
mdl_doosan_dx35z,doosan-dx35z,1,2,1,3,0,0,0,0,n/a,pass,
mdl_doosan_dx50k5,doosan-dx50k-5,3,4,1,4,0,0,0,0,review,pass,
mdl_doosan_dx55,doosan-dx55,3,4,1,6,0,0,0,0,review,pass,
mdl_doosan_dx55z,doosan-dx-55z,3,4,1,4,0,0,0,0,review,pass,
mdl_doosan_dx60r,doosan-dx60r,1,2,1,4,0,0,0,0,n/a,pass,
mdl_doosan_dx62r3,doosan-dx62r-3,1,2,1,2,0,0,0,0,n/a,pass,
mdl_doosan_dx633,doosan-dx63-3,1,2,1,2,0,0,0,0,n/a,pass,
mdl_doosan_dx80r,doosan-dx80r,2,4,1,4,0,0,0,0,review,pass,
mdl_doosan_dx85r,doosan-dx85r,2,4,1,4,0,0,0,0,review,pass,
mdl_doosan_dx85r3,doosan-dx85r-3,2,4,1,4,0,0,0,0,review,pass,
mdl_doosan_s55,doosan-s55,3,4,1,4,0,0,0,0,review,pass,
mdl_gehl_303,gehl-303,2,4,2,8,0,0,0,0,review,pass,
mdl_gehl_502,gehl-502,3,3,1,5,0,0,0,0,review,pass,
mdl_gehl_503z,gehl-503z,3,3,1,5,0,0,0,0,review,pass,
mdl_gehl_603,gehl-603,3,6,2,10,0,0,0,0,review,pass,
